Date,Time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftElbow_x,LeftElbow_y,LeftElbow_z,LeftWrist_xLeftWrist_y,,LeftWrist_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightElbow_x,RightElbow_y,RightElbow_z,RightWrist_x,RightWrist_y,RightWrist_z,RightHand_x,RightHand_y,RightHand_z,,,
2015-01-12,11:33:37.498,-164.8757,273.7877,-1259.139,-132.6023,131.9905,-1329.824,-276.9059,63.81557,-1351.444,-304.7384,-74.0084,-1428.929,-243.2964,-229.82,-1395.465,-222.0856,-299.6544,-1390.003,4.83053,107.6252,-1384.705,111.4297,-36.51939,-1436.86,200.0971,-110.0308,-1304.153,208.2314,-97.709,-1156.812,,,
2015-01-12,11:33:37.581,-163.5856,273.0061,-1258.478,-132.2892,131.526,-1330.86,-276.5928,63.35112,-1352.48,-312.8037,-66.59364,-1437.819,-230.3048,-203.5871,-1373.841,-209.9308,-273.7866,-1370.004,4.734459,107.9273,-1385.371,107.3376,-35.56395,-1399.803,76.36302,-92.97697,-1196.964,49.96041,-126.0806,-1101.785,,,
2015-01-12,11:33:37.651,-163.8636,273.3951,-1259.191,-131.4771,131.2104,-1332.696,-275.7806,63.0356,-1354.316,-305.8555,-72.13242,-1434.644,-241.9085,-227.6371,-1407.37,-247.57,-235.7895,-1401.732,1.911936,105.7572,-1382.455,92.91914,-56.56343,-1368.915,64.82963,-164.1541,-1232.831,-18.51229,-175.6332,-1088.504,,,
2015-01-12,11:33:37.716,-163.9779,273.6965,-1260.956,-129.2464,131.4446,-1336.363,-273.5499,63.26985,-1357.983,-305.6242,-66.32092,-1444.94,-247.3978,-222.8604,-1409.798,-250.2475,-242.8172,-1403.681,-3.040707,103.2914,-1377.889,81.85228,-74.64992,-1348.702,45.22942,-176.601,-1210.249,-34.8846,-197.3288,-1057.511,,,
2015-01-12,11:33:37.797,-163.5991,275.0394,-1262.997,-128.9525,131.6745,-1338.731,-273.256,63.49969,-1360.351,-308.2091,-58.53427,-1455.151,-249.0471,-212.887,-1411.12,-242.7156,-264.7072,-1397.068,-7.021422,99.46154,-1373.059,74.24203,-84.94428,-1340.458,37.7364,-184.7765,-1200.409,33.40273,-207.1205,-1151.37,,,
2015-01-12,11:33:37.869,-163.552,276.047,-1264.799,-129.0231,131.8589,-1342.631,-273.3266,63.6841,-1364.251,-323.4813,-41.73215,-1469.625,-265.8402,-195.8932,-1422.569,-245.5219,-261.5405,-1397.565,-9.884461,97.13251,-1370.399,54.09629,-119.5534,-1318.244,25.77164,-232.9057,-1113.084,17.83448,-281.3176,-973.504,,,
2015-01-12,11:33:37.963,-164.3049,275.6578,-1266.862,-129.7271,130.4784,-1347.894,-274.0305,62.30362,-1369.514,-275.6778,-114.1315,-1408.688,-237.4311,-278.6489,-1405.399,-233.4324,-326.6515,-1380.921,-10.70912,92.81429,-1369.329,26.69914,-90.40424,-1273.794,12.67469,-229.2186,-1084.084,18.88971,-283.0526,-1035.022,,,
2015-01-12,11:33:38.043,-163.0316,275.6318,-1267.905,-129.1513,130.0684,-1348.648,-273.4547,61.8937,-1370.268,-275.4763,-113.4755,-1407.93,-230.9502,-276.183,-1409.497,-256.2008,-320.0268,-1390.611,-9.076468,88.61795,-1370.486,26.02474,-93.91492,-1275.119,12.57086,-231.7941,-1084.642,18.55759,-284.781,-1034.69,,,
2015-01-12,11:33:38.119,-162.3691,276.0385,-1269.424,-127.2559,130.5737,-1349.862,-271.5593,62.39898,-1371.481,-306.6834,-76.83344,-1443.697,-241.3525,-230.6962,-1410.405,-247.9789,-282.9576,-1398.585,-8.680451,87.85768,-1371.477,25.39886,-96.04259,-1273.712,12.72529,-233.5845,-1082.959,18.47301,-286.2451,-1032.667,,,
2015-01-12,11:33:38.192,-160.3429,277.4408,-1272.224,-127.3991,130.9648,-1350.255,-271.7025,62.79004,-1371.875,-321.1237,-55.40558,-1465.135,-255.0387,-207.8441,-1415.687,-254.6613,-260.3475,-1403.175,-7.686433,87.13545,-1373.645,26.36997,-94.3077,-1274.768,13.11888,-232.1957,-1084.396,18.82076,-284.8748,-1034.146,,,
